date_time,open,high,low,close,volume
2011-09-13,2251.5,2251.5,2251.5,2251.5,0
2011-09-14,2269.1,2269.1,2269.1,2269.1,0
2011-09-15,2291.69,2291.69,2291.69,2291.69,0
2011-09-16,2296.9,2296.9,2296.9,2296.9,0
2011-09-19,2284.5,2284.5,2284.5,2284.5,0
2011-09-20,2316.1,2316.1,2316.1,2316.1,0
2011-09-21,2322.9,2322.9,2322.9,2322.9,0
2011-09-22,2239.8,2239.8,2239.8,2239.8,0
2011-09-23,2216.9,2216.9,2216.9,2216.9,0
2011-09-26,2192.69,2192.69,2192.69,2192.69,0
2011-09-27,2238.5,2238.5,2238.5,2238.5,0
2011-09-28,2225.5,2225.5,2225.5,2225.5,0
2011-09-29,2239.1,2239.1,2239.1,2239.1,0
2011-09-30,2219.4,2219.4,2219.4,2219.4,0
2011-10-03,2175.1,2175.1,2175.1,2175.1,0
2011-10-04,2142.6,2142.6,2142.6,2142.6,0
2011-10-05,2126.0,2126.0,2126.0,2126.0,0
2011-10-07,2169.1,2169.1,2169.1,2169.1,0
2011-10-10,2205.19,2205.19,2205.19,2205.19,0
2011-10-11,2210.5,2210.5,2210.5,2210.5,0
2011-10-12,2254.5,2254.5,2254.5,2254.5,0
2011-10-13,2253.19,2253.19,2253.19,2253.19,0
2011-10-14,2267.0,2267.0,2267.0,2267.0,0
2011-10-17,2266.9,2266.9,2266.9,2266.9,0
2011-10-18,2233.19,2233.19,2233.19,2233.19,0
2011-10-19,2270.0,2270.0,2270.0,2270.0,0
2011-10-20,2249.6,2249.6,2249.6,2249.6,0
2011-10-21,2231.8,2231.8,2231.8,2231.8,0
2011-10-24,2237.4,2237.4,2237.4,2237.4,0
2011-10-25,2261.9,2261.9,2261.9,2261.9,0
2011-10-26,2276.19,2276.19,2276.19,2276.19,0
2011-10-28,2332.19,2332.19,2332.19,2332.19,0
2011-10-31,2330.8,2330.8,2330.8,2330.8,0
2011-11-01,2309.8,2309.8,2309.8,2309.8,0
2011-11-02,2311.6,2311.6,2311.6,2311.6,0
2011-11-03,2315.9,2315.9,2315.9,2315.9,0
2011-11-04,2331.3,2331.3,2331.3,2331.3,0
2011-11-08,2332.69,2332.69,2332.69,2332.69,0
2011-11-09,2301.1,2301.1,2301.1,2301.1,0
2011-11-11,2275.6,2275.6,2275.6,2275.6,0
2011-11-14,2253.5,2253.5,2253.5,2253.5,0
2011-11-15,2204.9,2204.9,2204.9,2204.9,0
2011-11-16,2186.3,2186.3,2186.3,2186.3,0
2011-11-17,2151.1,2151.1,2151.1,2151.1,0
2011-11-18,2133.9,2133.9,2133.9,2133.9,0
2011-11-21,2089.8,2089.8,2089.8,2089.8,0
2011-11-22,2101.8,2101.8,2101.8,2101.8,0
2011-11-23,2059.5,2059.5,2059.5,2059.5,0
2011-11-24,2087.19,2087.19,2087.19,2087.19,0
2011-11-25,2080.4,2080.4,2080.4,2080.4,0
2011-11-28,2128.0,2128.0,2128.0,2128.0,0
2011-11-29,2112.0,2112.0,2112.0,2112.0,0
2011-11-30,2112.3,2112.3,2112.3,2112.3,0
2011-12-01,2144.4,2144.4,2144.4,2144.4,0
2011-12-02,2187.8,2187.8,2187.8,2187.8,0
2011-12-05,2186.5,2186.5,2186.5,2186.5,0
2011-12-07,2190.9,2190.9,2190.9,2190.9,0
2011-12-08,2146.3,2146.3,2146.3,2146.3,0
2011-12-09,2121.0,2121.0,2121.0,2121.0,0
2011-12-12,2077.5,2077.5,2077.5,2077.5,0
2011-12-13,2079.5,2079.5,2079.5,2079.5,0
2011-12-14,2062.6,2062.6,2062.6,2062.6,0
2011-12-15,2050.3,2050.3,2050.3,2050.3,0
2011-12-16,2013.2,2013.2,2013.2,2013.2,0
2011-12-19,1982.0,1982.0,1982.0,1982.0,0
2011-12-20,1945.5,1945.5,1945.5,1945.5,0
2011-12-21,1988.4,1988.4,1988.4,1988.4,0
2011-12-22,2009.2,2009.2,2009.2,2009.2,0
2011-12-23,2003.0,2003.0,2003.0,2003.0,0
2011-12-26,2024.3,2024.3,2024.3,2024.3,0
